StandID,Year,Species,Ags Ugs,DBH,TPA,Total Plots
N13,2021,318,AGS,20.4,140.4733366,21
N13,2021,371,AGS,37.1,42.47236198,21
N13,2021,371,AGS,22.3,117.5559206,21
N13,2021,371,AGS,38.3,39.85260228,21
N13,2021,371,AGS,22.6,114.4556812,21
N14,2021,318,AGS,30.1,64.52399394,21
N14,2021,371,AGS,45.6,28.11412346,21
N14,2021,371,AGS,47.8,25.58576695,21
N14,2021,531,UGS,9.6,634.3249105,21
N14,2021,318,UGS,20.4,140.4733366,21
N14,2021,315,UGS,11.9,412.8196014,21
N14,2021,318,UGS,33.7,51.47477195,21
N14,2021,371,AGS,44.8,29.12716426,21
N14,2021,318,AGS,42.3,32.67183282,21
N14,2021,318,AGS,24.4,98.19165505,21
N14,2021,318,AGS,14.1,294.0464954,21
N14,2021,318,UGS,21.3,128.8531459,21
N14,2021,318,AGS,38.6,39.23553904,21
N14,2021,318,AGS,40.8,35.11833415,21
N14,2021,371,AGS,44.3,29.78837281,21
N14,2021,318,AGS,38.1,40.27210046,21
N14,2021,316,AGS,44.4,29.65434205,21
N14,2021,318,UGS,37.1,42.47236198,21
N14,2021,371,AGS,41.4,34.10778767,21
N14,2021,371,AGS,32.9,54.00853997,21
N14,2021,371,UGS,42.2,32.8268591,21
N14,2021,371,UGS,8.9,738.0303466,21
N14,2021,316,UGS,20.7,136.4311507,21
N14,2021,318,AGS,26.5,83.24582948,21
N14,2021,531,UGS,7.9,936.6989866,21
N14,2021,318,AGS,42.8,31.91293113,21
N14,2021,318,UGS,20.6,137.7589399,21
N14,2021,318,AGS,17.6,188.7247668,21
N14,2021,318,AGS,38.2,40.06152775,21
N14,2021,318,AGS,19.9,147.6209786,21
N14,2021,316,AGS,33.6,51.78162535,21
N14,2021,97,AGS,27.7,76.1894248,21
N14,2021,371,AGS,26.5,83.24582948,21
N14,2021,371,AGS,29.8,65.82967406,21
N14,2021,371,UGS,13.8,306.970089,21
N14,2021,371,AGS,44.8,29.12716426,21
N14,2021,316,AGS,39.7,37.09139945,21
N14,2021,97,AGS,32.9,54.00853997,21
N14,2021,97,AGS,31.8,57.80960381,21
N14,2021,371,AGS,16.8,207.1265014,21
N14,2021,97,AGS,41.1,34.60752882,21
N14,2021,371,AGS,26.1,85.81697825,21
N14,2021,97,AGS,39,38.43483481,21
N14,2021,97,AGS,28.1,74.03576924,21
N14,2021,97,AGS,18.3,174.5629423,21
N14,2021,316,UGS,37.3,42.01811538,21
N14,2021,371,AGS,25.1,92.79119975,21
N14,2021,316,UGS,31.1,60.44125242,21
N14,2021,316,UGS,37,42.70225256,21
N14,2021,12,AGS,18.2,176.4864864,21
N14,2021,371,UGS,40.7,35.29111782,21
N14,2021,97,AGS,8.6,790.4189258,21
N14,2021,12,AGS,22.8,112.4564938,21
N14,2021,97,AGS,11.2,466.0346281,21
N14,2021,316,AGS,32.6,55.0071359,21
N14,2021,316,AGS,30.1,64.52399394,21
N14,2021,97,AGS,7.2,1127.68873,21
N14,2021,371,AGS,34.3,49.68965631,21
N14,2021,371,UGS,59,16.79384767,21
N14,2021,318,UGS,18.6,168.9772915,21
N14,2021,316,AGS,12.5,374.140056,21
N14,2021,318,UGS,35.8,45.61295196,21
N14,2021,318,UGS,33.1,53.35784061,21
N14,2021,371,AGS,25.9,87.1474542,21
N14,2021,531,UGS,9.4,661.6046147,21
N14,2021,318,AGS,35.4,46.64957687,21
N14,2021,318,AGS,31.1,60.44125242,21
N14,2021,318,AGS,23.4,106.76343,21
N14,2021,318,AGS,28.8,70.48054561,21
N14,2021,371,AGS,52.3,21.37228,21
N14,2021,318,AGS,21.4,127.6517245,21
N14,2021,318,UGS,34.1,50.27423548,21
N14,2021,531,UGS,15.8,234.1747466,21
N14,2021,318,AGS,38.6,39.23553904,21
N14,2021,318,UGS,8.9,738.0303466,21
N14,2021,371,AGS,39.5,37.46795946,21
N14,2021,371,UGS,31.6,58.54368666,21
N14,2021,318,AGS,38,40.48433778,21
N14,2021,531,UGS,41.2,34.43973499,21
N14,2021,318,AGS,38,40.48433778,21
N14,2021,318,AGS,41.6,33.78061654,21
N14,2021,318,AGS,24.3,99.00147971,21
N14,2021,318,UGS,21.4,127.6517245,21
N14,2021,318,AGS,32.4,55.68833234,21
N14,2021,318,AGS,38.3,39.85260228,21
N14,2021,318,AGS,34,50.57040117,21
N14,2021,318,AGS,19.7,150.6335741,21
N14,2021,318,UGS,11.1,474.4694729,21
N14,2021,318,AGS,35.7,45.8688446,21
N14,2021,318,AGS,29.2,68.56279761,21
N14,2021,318,UGS,21.7,124.1465815,21
N14,2021,371,AGS,15.1,256.3895608,21
N14,2021,318,AGS,30.9,61.22619553,21
N14,2021,97,AGS,43.4,31.03664537,21
N14,2021,318,AGS,33.4,52.40362128,21
N14,2021,371,UGS,23.9,102.3430678,21
N14,2021,318,AGS,51.4,22.12727814,21
N14,2021,318,AGS,27.2,79.01625183,21
N14,2021,318,AGS,33.8,51.17063807,21
N14,2021,371,AGS,49.2,24.15038327,21
N14,2021,318,UGS,36.2,44.6105001,21
N14,2021,318,UGS,13.1,340.6525479,21
N14,2021,318,AGS,52,21.61959458,21
N14,2021,371,AGS,14.4,281.9221825,21
N14,2021,371,AGS,51.1,22.38785228,21
N14,2021,318,UGS,11.3,457.822725,21
N14,2021,318,UGS,28.6,71.46973416,21
N14,2021,318,AGS,36.1,44.857992,21
N14,2021,318,AGS,33.2,53.03689192,21
N14,2021,371,AGS,53.5,20.42427592,21
N14,2021,371,AGS,17.9,182.4518079,21
N14,2021,371,AGS,21.9,121.889418,21
N14,2021,318,AGS,17.7,186.5983075,21
N14,2021,318,UGS,12.3,386.4061323,21
N14,2021,375,AGS,10.3,551.0357598,21
N14,2021,371,AGS,22.4,116.508657,21
N14,2021,371,UGS,23.1,109.5545131,21
N14,2021,318,AGS,37.1,42.47236198,21
N14,2021,371,UGS,45.2,28.61392031,21
N14,2021,318,AGS,30.9,61.22619553,21
N14,2021,371,UGS,54.5,19.68163749,21
N14,2021,318,AGS,40.4,35.81718934,21
N14,2021,318,AGS,19.3,156.9421562,21
N14,2021,318,AGS,39.8,36.90524466,21
N14,2021,318,AGS,39.2,38.04364311,21
N14,2021,318,AGS,34.2,49.98066393,21
N14,2021,371,AGS,45.1,28.74095199,21
N14,2021,318,AGS,42.3,32.67183282,21
N14,2021,97,AGS,9.1,705.9459456,21
N14,2021,97,AGS,30.5,62.84265924,21
N14,2021,371,AGS,12.7,362.4489042,21
N14,2021,371,AGS,38.5,39.43962473,21
N14,2021,371,AGS,26.8,81.39254811,21
B6,2021,316,AGS,25.3,91.32994384,21
B6,2021,261,AGS,25.5,89.90293541,21
B6,2021,371,AGS,50.5,22.92300118,21
B6,2021,541,AGS,72.7,11.06077126,21
B6,2021,261,AGS,75.4,10.28280361,21
B6,2021,371,AGS,31.8,57.80960381,21
B6,2021,261,UGS,53.8,20.19713097,21
B6,2021,261,AGS,51.2,22.30048514,21
B6,2021,261,AGS,44.7,29.25763292,21
B6,2021,261,AGS,62.3,15.06184381,21
B6,2021,261,AGS,40.9,34.94681629,21
B6,2021,261,AGS,35.9,45.35919472,21
B6,2021,316,UGS,43,31.61675703,21
B6,2021,261,AGS,29.3,68.09559081,21
B6,2021,97,AGS,57.9,17.43801735,21
B6,2021,261,AGS,35.5,46.38713252,21
B6,2021,261,AGS,10.7,510.606898,21
B6,2021,371,UGS,55.4,19.0473562,21
B6,2021,316,AGS,39.9,36.72048778,21
B6,2021,316,UGS,33.3,52.71883032,21
B6,2021,261,AGS,17.5,190.8877837,21
B6,2021,371,UGS,36,45.10754919,21
B6,2021,531,UGS,23.6,104.961548,21
B6,2021,371,AGS,28.3,72.99302495,21
B6,2021,371,AGS,24.2,99.82136424,21
B6,2021,371,AGS,32.4,55.68833234,21
B6,2021,316,AGS,33.9,50.86919167,21
B6,2021,261,UGS,25.8,87.82432509,21
B6,2021,261,AGS,29.8,65.82967406,21
B6,2021,261,AGS,70.4,11.79529792,21
B6,2021,261,AGS,25.7,88.50911256,21
B6,2021,261,AGS,47.6,25.80122509,21
B6,2021,261,AGS,46,27.62730801,21
B6,2021,371,UGS,22.4,116.508657,21
B6,2021,261,AGS,27.1,79.60047351,21
B6,2021,316,AGS,37.7,41.13121443,21
B6,2021,261,UGS,23.3,107.6818209,21
B6,2021,316,AGS,56.7,18.18394525,21
B6,2021,261,AGS,62.5,14.96560224,21
B6,2021,261,AGS,70.5,11.76185982,21
B6,2021,261,AGS,42.9,31.76432629,21
B6,2021,261,AGS,33.8,51.17063807,21
B6,2021,261,AGS,36.8,43.16766877,21
B6,2021,261,AGS,53.6,20.34813703,21
B6,2021,261,AGS,60,16.23871771,21
B6,2021,261,AGS,9.4,661.6046147,21
B6,2021,261,AGS,27.6,76.74252226,21
B6,2021,541,UGS,30.9,61.22619553,21
B6,2021,316,UGS,55.5,18.97877892,21
B6,2021,261,AGS,32.2,56.38226125,21
B6,2021,316,AGS,43.8,30.47235449,21
B6,2021,316,AGS,34.7,48.55067624,21
B6,2021,316,AGS,35.6,46.12689666,21
B6,2021,261,AGS,13.9,302.5691411,21
B6,2021,261,AGS,38.5,39.43962473,21
B6,2021,261,AGS,52.6,21.12918495,21
B6,2021,261,AGS,67.9,12.6798666,21
B6,2021,261,AGS,46.9,26.57715857,21
B1,2021,261,AGS,50.5,22.92300118,21
B1,2021,316,AGS,26.8,81.39254811,21
B1,2021,316,UGS,33,53.68171144,21
B1,2021,371,AGS,29.4,67.63314331,21
B1,2021,261,AGS,36.3,44.36505077,21
B1,2021,261,AGS,17,202.2816047,21
B1,2021,261,AGS,21.1,131.3074364,21
B1,2021,261,AGS,35.8,45.61295196,21
B1,2021,316,AGS,45,28.86883148,21
B1,2021,261,AGS,20.1,144.6978633,21
B1,2021,261,UGS,37.8,40.91387682,21
B1,2021,261,AGS,7.1,1159.678313,21
B1,2021,261,AGS,15.7,237.1673648,21
B1,2021,316,AGS,44.3,29.78837281,21
B1,2021,316,AGS,35.2,47.18119169,21
B1,2021,261,AGS,25.1,92.79119975,21
B1,2021,531,UGS,33.2,53.03689192,21
B1,2021,531,UGS,30.1,64.52399394,21
B1,2021,261,AGS,33.1,53.35784061,21
